Incident energy ; MT=2 : (z,elastic) ; MT=102 : (z,γ)
Incident energy ;  ; 
Incident energy ; σ(E) ; σ(E)
1.0 ; 9.07482 ; 0.4963903
1.0002302850208247 ; 9.074781694389635 ; 0.4963633752595932
1.0004606230728403 ; 9.074743379958065 ; 0.49633644431882196
1.000691014168259 ; 9.074705056703253 ; 0.4963095071762585
1.0009214583192958 ; 9.07466672462317 ; 0.4962825638304746
1.001151955538169 ; 9.074628383715782 ; 0.4962556142800417
1.0013825058370986 ; 9.074590033979057 ; 0.4962286585235311
1.001613109228309 ; 9.074551675410964 ; 0.4962016965595135
1.001843765724026 ; 9.074513308009465 ; 0.49617472838655946
1.0020744753364788 ; 9.074474931772532 ; 0.4961477540032392
1.0023052380778996 ; 9.074436546698122 ; 0.49612077340812244
1.0025360539605233 ; 9.074398152784207 ; 0.4960937865997788
1.002766922996587 ; 9.074359750028748 ; 0.49606679357677747
1.0029978451983317 ; 9.07432133842971 ; 0.49603979433768725
1.0032288205780004 ; 9.074282917985057 ; 0.4960127888810767
1.0034598491478393 ; 9.074244488692749 ; 0.49598577720551396
1.003690930920097 ; 9.074206050550751 ; 0.495958759309567
1.0039220659070256 ; 9.074167603557026 ; 0.49593173519180334
1.0041532541208793 ; 9.074129147709534 ; 0.4959047048507901
1.0043844955739158 ; 9.074090683006236 ; 0.4958776682850942
1.0046157902783952 ; 9.074052209445092 ; 0.49585062549328224
1.0048471382465802 ; 9.074013727024063 ; 0.49582357647392045
1.005078539490737 ; 9.073975235741113 ; 0.4957965212255746
1.0053099940231343 ; 9.073936735594193 ; 0.49576945974681036
1.0055415018560432 ; 9.073898226581267 ; 0.4957423920361929
1.0057730630017383 ; 9.073859708700292 ; 0.49571531809228714
1.0060046774724967 ; 9.073821181949226 ; 0.4956882379136577
1.006236345280598 ; 9.073782646326025 ; 0.4956611514988687
1.0064680664383256 ; 9.07374410182865 ; 0.4956340588464841
1.0066998409579648 ; 9.073705548455052 ; 0.4956069599550675
1.0069316688518042 ; 9.073666986203191 ; 0.4955798548231821
1.0071635501321348 ; 9.073628415071022 ; 0.49555274344939093
1.007395484811251 ; 9.073589835056497 ; 0.4955256258322564
1.0076274729014494 ; 9.073551246157574 ; 0.49549850197034084
1.0078595144150302 ; 9.073512648372205 ; 0.4954713718622062
1.0080916093642955 ; 9.073474041698343 ; 0.49544423550641403
1.0083237577615514 ; 9.073435426133946 ; 0.49541709290152564
1.0085559596191056 ; 9.073396801676958 ; 0.49538994404610187
1.0087882149492693 ; 9.07335816832534 ; 0.4953627889387034
1.0090205237643568 ; 9.073319526077038 ; 0.4953356275778904
1.0092528860766845 ; 9.073280874930004 ; 0.49530845996222295
1.009485301898572 ; 9.073242214882193 ; 0.49528128609026045
1.009717771242342 ; 9.07320354593155 ; 0.4952541059605624
1.0099502941203198 ; 9.073164868076027 ; 0.49522691957168746
1.0101828705448332 ; 9.073126181313572 ; 0.4951997269221945
1.0104155005282134 ; 9.073087485642137 ; 0.4951725280106417
1.010648184082794 ; 9.073048781059668 ; 0.495145322835587
1.0108809212209122 ; 9.073010067564114 ; 0.4951181113955879
1.011113711954907 ; 9.072971345153421 ; 0.49509089368920184
1.0113465562971207 ; 9.072932613825538 ; 0.4950636697149857
1.0115794542598986 ; 9.072893873578408 ; 0.49503643947149606
1.0118124058555886 ; 9.072855124409983 ; 0.49500920295728923
1.0120454110965418 ; 9.072816366318202 ; 0.4949819601709212
1.0122784699951117 ; 9.072777599301014 ; 0.4949547111109475
1.012511582563655 ; 9.072738823356362 ; 0.4949274557759235
1.0127447488145311 ; 9.072700038482193 ; 0.49490019416440406
1.012977968760102 ; 9.072661244676445 ; 0.4948729262749439
1.0132112424127329 ; 9.072622441937066 ; 0.4948456521060972
1.0134445697847918 ; 9.072583630261999 ; 0.494818371656418
1.0136779508886495 ; 9.072544809649182 ; 0.4947910849244598
1.0139113857366795 ; 9.07250598009656 ; 0.49476379190877606
1.0141448743412582 ; 9.072467141602075 ; 0.4947364926079196
1.0143784167147651 ; 9.072428294163666 ; 0.4947091870204431
1.0146120128695826 ; 9.072389437779275 ; 0.4946818751448987
1.0148456628180953 ; 9.07235057244684 ; 0.4946545569798385
1.0150793665726912 ; 9.0723116981643 ; 0.49462723252381424
1.0153131241457611 ; 9.072272814929594 ; 0.49459990177537694
1.0155469355496989 ; 9.072233922740665 ; 0.49457256473307765
1.0157808007969003 ; 9.072195021595444 ; 0.4945452213954671
1.0160147198997653 ; 9.072156111491873 ; 0.49451787176109535
1.0162486928706955 ; 9.07211719242789 ; 0.4944905158285126
1.0164827197220965 ; 9.072078264401428 ; 0.4944631535962683
1.0167168004663756 ; 9.072039327410424 ; 0.49443578506291175
1.016950935115944 ; 9.072000381452813 ; 0.49440841022699195
1.0171851236832148 ; 9.071961426526535 ; 0.4943810290870575
1.0174193661806048 ; 9.071922462629518 ; 0.4943536416416567
1.0176536626205333 ; 9.071883489759703 ; 0.4943262478893373
1.0178880130154222 ; 9.071844507915015 ; 0.49429884782864725
1.0181224173776968 ; 9.071805517093395 ; 0.49427144145813356
1.0183568757197847 ; 9.071766517292772 ; 0.4942440287763433
1.0185913880541169 ; 9.07172750851108 ; 0.49421660978182314
1.0188259543931268 ; 9.071688490746247 ; 0.4941891844731191
1.0190605747492512 ; 9.071649463996211 ; 0.4941617528487774
1.019295249134929 ; 9.071610428258897 ; 0.49413431490734344
1.0195299775626026 ; 9.071571383532238 ; 0.49410687064736253
1.019764760044717 ; 9.071532329814163 ; 0.4940794200673797
