Incident energy ; MT=102 : (z,γ) ; MT=2 : (z,elastic)
Incident energy ;  ; 
Incident energy ; σ(E) ; σ(E)
1.0 ; 0.05293893 ; 20.69468
1.0002302850208247 ; 0.05293377825695353 ; 20.69463230336649
1.0004606230728403 ; 0.052928625327537795 ; 20.694584595749156
1.000691014168259 ; 0.05292347121147961 ; 20.694536877145474
1.0009214583192958 ; 0.05291831590850571 ; 20.69448914755291
1.001151955538169 ; 0.05291315941834274 ; 20.694441406968934
1.0013825058370986 ; 0.05290800174071734 ; 20.69439365539102
1.001613109228309 ; 0.05290284287535603 ; 20.694345892816635
1.001843765724026 ; 0.0528976828219853 ; 20.69429811924324
1.0020744753364788 ; 0.052892521580331586 ; 20.69425033466831
1.0023052380778996 ; 0.052887359150121216 ; 20.694202539089307
1.0025360539605233 ; 0.052882195531080506 ; 20.6941547325037
1.002766922996587 ; 0.052877030722935675 ; 20.69410691490895
1.0029978451983317 ; 0.052871864725412894 ; 20.694059086302524
1.0032288205780004 ; 0.052866697538238264 ; 20.694011246681885
1.0034598491478393 ; 0.05286152916113783 ; 20.693963396044502
1.003690930920097 ; 0.05285635959383757 ; 20.69391553438783
1.0039220659070256 ; 0.05285118883606339 ; 20.69386766170934
1.0041532541208793 ; 0.052846016887541154 ; 20.693819778006485
1.0043844955739158 ; 0.052840843747996635 ; 20.69377188327673
1.0046157902783952 ; 0.052835669417155576 ; 20.69372397751754
1.0048471382465802 ; 0.05283049389474363 ; 20.69367606072637
1.005078539490737 ; 0.0528253171804864 ; 20.69362813290068
1.0053099940231343 ; 0.05282013927410942 ; 20.69358019403793
1.0055415018560432 ; 0.05281496017533816 ; 20.69353224413558
1.0057730630017383 ; 0.05280977988389803 ; 20.69348428319108
1.0060046774724967 ; 0.05280459839951439 ; 20.6934363112019
1.006236345280598 ; 0.0527994157219125 ; 20.693388328165483
1.0064680664383256 ; 0.052794231850817594 ; 20.693340334079295
1.0066998409579648 ; 0.05278904678595482 ; 20.693292328940785
1.0069316688518042 ; 0.05278386052704928 ; 20.693244312747417
1.0071635501321348 ; 0.05277867307382599 ; 20.693196285496636
1.007395484811251 ; 0.05277348442600994 ; 20.693148247185896
1.0076274729014494 ; 0.05276829458332601 ; 20.693100197812655
1.0078595144150302 ; 0.052763103545499054 ; 20.69305213737436
1.0080916093642955 ; 0.05275791131225385 ; 20.69300406586847
1.0083237577615514 ; 0.05275271788331509 ; 20.69295598329243
1.0085559596191056 ; 0.05274752325840745 ; 20.692907889643696
1.0087882149492693 ; 0.0527423274372555 ; 20.69285978491971
1.0090205237643568 ; 0.05273713041958377 ; 20.692811669117926
1.0092528860766845 ; 0.052731932205116724 ; 20.6927635422358
1.009485301898572 ; 0.05272673279357874 ; 20.69271540427077
1.009717771242342 ; 0.05272153218469417 ; 20.692667255220286
1.0099502941203198 ; 0.05271633037818727 ; 20.692619095081803
1.0101828705448332 ; 0.05271112737378225 ; 20.692570923852756
1.0104155005282134 ; 0.052705923171203255 ; 20.6925227415306
1.010648184082794 ; 0.052700717770174356 ; 20.692474548112774
1.0108809212209122 ; 0.052695511170419575 ; 20.692426343596726
1.011113711954907 ; 0.05269030337166286 ; 20.6923781279799
1.0113465562971207 ; 0.05268509437362811 ; 20.692329901259743
1.0115794542598986 ; 0.052679884176039124 ; 20.692281663433693
1.0118124058555886 ; 0.05267467277861969 ; 20.692233414499192
1.0120454110965418 ; 0.05266946018109349 ; 20.692185154453686
1.0122784699951117 ; 0.05266424638318416 ; 20.692136883294616
1.012511582563655 ; 0.052659031384615265 ; 20.692088601019417
1.0127447488145311 ; 0.052653815185110316 ; 20.692040307625536
1.012977968760102 ; 0.052648597784392764 ; 20.69199200311041
1.0132112424127329 ; 0.05264337918218597 ; 20.69194368747148
1.0134445697847918 ; 0.05263815937821326 ; 20.691895360706177
1.0136779508886495 ; 0.05263293837219788 ; 20.691847022811945
1.0139113857366795 ; 0.052627716163863025 ; 20.69179867378622
1.0141448743412582 ; 0.05262249275293182 ; 20.69175031362644
1.0143784167147651 ; 0.052617268139127316 ; 20.691701942330038
1.0146120128695826 ; 0.05261204232217251 ; 20.691653559894455
1.0148456628180953 ; 0.052606815301790344 ; 20.691605166317117
1.0150793665726912 ; 0.052601587077703675 ; 20.691556761595464
1.0153131241457611 ; 0.052596357649635314 ; 20.69150834572693
1.0155469355496989 ; 0.052591127017308 ; 20.691459918708947
1.0157808007969003 ; 0.05258589518044442 ; 20.691411480538946
1.0160147198997653 ; 0.052580662138767165 ; 20.691363031214365
1.0162486928706955 ; 0.052575427891998816 ; 20.691314570732622
1.0164827197220965 ; 0.05257019243986183 ; 20.691266099091163
1.0167168004663756 ; 0.05256495578207864 ; 20.691217616287407
1.016950935115944 ; 0.0525597179183716 ; 20.69116912231879
1.0171851236832148 ; 0.05255447884846302 ; 20.691120617182733
1.0174193661806048 ; 0.0525492385720751 ; 20.691072100876674
1.0176536626205333 ; 0.05254399708893004 ; 20.691023573398038
1.0178880130154222 ; 0.05253875439874991 ; 20.69097503474425
1.0181224173776968 ; 0.05253351050125677 ; 20.690926484912733
1.0183568757197847 ; 0.05252826539617258 ; 20.69087792390092
1.0185913880541169 ; 0.05252301908321927 ; 20.69082935170623
1.0188259543931268 ; 0.05251777156211866 ; 20.690780768326096
1.0190605747492512 ; 0.05251252283259254 ; 20.690732173757937
1.019295249134929 ; 0.05250727289436264 ; 20.690683567999173
1.0195299775626026 ; 0.052502021747150615 ; 20.690634951047237
1.019764760044717 ; 0.05249676939067803 ; 20.69058632289954
