Incident energy ; H2 MT=102 : (z,γ) ; H1 MT=2 : (z,elastic)
Incident energy ;  ; 
Incident energy ; σ(E) ; σ(E)
1.0 ; 8.033273E-5 ; 20.69468
1.0002302850208247 ; 8.032489677211404E-5 ; 20.69463230336649
1.0004606230728403 ; 8.031706174035303E-5 ; 20.694584595749156
1.000691014168259 ; 8.030922490430157E-5 ; 20.694536877145474
1.0009214583192958 ; 8.030138626354416E-5 ; 20.69448914755291
1.001151955538169 ; 8.029354581766519E-5 ; 20.694441406968934
1.0013825058370986 ; 8.028570356624898E-5 ; 20.69439365539102
1.001613109228309 ; 8.027785950887975E-5 ; 20.694345892816635
1.001843765724026 ; 8.027001364514159E-5 ; 20.69429811924324
1.0020744753364788 ; 8.026216597461856E-5 ; 20.69425033466831
1.0023052380778996 ; 8.025431649689454E-5 ; 20.694202539089307
1.0025360539605233 ; 8.024646521155338E-5 ; 20.6941547325037
1.002766922996587 ; 8.023861211817882E-5 ; 20.69410691490895
1.0029978451983317 ; 8.023075721635447E-5 ; 20.694059086302524
1.0032288205780004 ; 8.02229005056639E-5 ; 20.694011246681885
1.0034598491478393 ; 8.021504198569055E-5 ; 20.693963396044502
1.003690930920097 ; 8.020718165601777E-5 ; 20.69391553438783
1.0039220659070256 ; 8.019931951622879E-5 ; 20.69386766170934
1.0041532541208793 ; 8.019145556590681E-5 ; 20.693819778006485
1.0043844955739158 ; 8.018358980463485E-5 ; 20.69377188327673
1.0046157902783952 ; 8.017572223199589E-5 ; 20.69372397751754
1.0048471382465802 ; 8.01678528475728E-5 ; 20.69367606072637
1.005078539490737 ; 8.015998165094836E-5 ; 20.69362813290068
1.0053099940231343 ; 8.015210864170524E-5 ; 20.69358019403793
1.0055415018560432 ; 8.014423381942603E-5 ; 20.69353224413558
1.0057730630017383 ; 8.013635718369319E-5 ; 20.69348428319108
1.0060046774724967 ; 8.012847873408914E-5 ; 20.6934363112019
1.006236345280598 ; 8.012059847019616E-5 ; 20.693388328165483
1.0064680664383256 ; 8.011271639159643E-5 ; 20.693340334079295
1.0066998409579648 ; 8.010483249787208E-5 ; 20.693292328940785
1.0069316688518042 ; 8.00969467886051E-5 ; 20.693244312747417
1.0071635501321348 ; 8.00890592633774E-5 ; 20.693196285496636
1.007395484811251 ; 8.008116992177077E-5 ; 20.693148247185896
1.0076274729014494 ; 8.007327876336695E-5 ; 20.693100197812655
1.0078595144150302 ; 8.006538578774756E-5 ; 20.69305213737436
1.0080916093642955 ; 8.005749099449412E-5 ; 20.69300406586847
1.0083237577615514 ; 8.004959438318803E-5 ; 20.69295598329243
1.0085559596191056 ; 8.004169595341067E-5 ; 20.692907889643696
1.0087882149492693 ; 8.003379570474322E-5 ; 20.69285978491971
1.0090205237643568 ; 8.002589363676685E-5 ; 20.692811669117926
1.0092528860766845 ; 8.001798974906259E-5 ; 20.6927635422358
1.009485301898572 ; 8.001008404121138E-5 ; 20.69271540427077
1.009717771242342 ; 8.00021765127941E-5 ; 20.692667255220286
1.0099502941203198 ; 7.999426716339145E-5 ; 20.692619095081803
1.0101828705448332 ; 7.99863559925841E-5 ; 20.692570923852756
1.0104155005282134 ; 7.997844299995262E-5 ; 20.6925227415306
1.010648184082794 ; 7.997052818507748E-5 ; 20.692474548112774
1.0108809212209122 ; 7.996261154753903E-5 ; 20.692426343596726
1.011113711954907 ; 7.995469308691753E-5 ; 20.6923781279799
1.0113465562971207 ; 7.994677280279318E-5 ; 20.692329901259743
1.0115794542598986 ; 7.993885069474602E-5 ; 20.692281663433693
1.0118124058555886 ; 7.993092676235604E-5 ; 20.692233414499192
1.0120454110965418 ; 7.992300100520314E-5 ; 20.692185154453686
1.0122784699951117 ; 7.991507342286707E-5 ; 20.692136883294616
1.012511582563655 ; 7.990714401492755E-5 ; 20.692088601019417
1.0127447488145311 ; 7.989921278096414E-5 ; 20.692040307625536
1.012977968760102 ; 7.989127972055638E-5 ; 20.69199200311041
1.0132112424127329 ; 7.988334483328363E-5 ; 20.69194368747148
1.0134445697847918 ; 7.987540811872518E-5 ; 20.691895360706177
1.0136779508886495 ; 7.986746957646028E-5 ; 20.691847022811945
1.0139113857366795 ; 7.985952920606799E-5 ; 20.69179867378622
1.0141448743412582 ; 7.985158700712735E-5 ; 20.69175031362644
1.0143784167147651 ; 7.984364297921725E-5 ; 20.691701942330038
1.0146120128695826 ; 7.98356971219165E-5 ; 20.691653559894455
1.0148456628180953 ; 7.982774943480387E-5 ; 20.691605166317117
1.0150793665726912 ; 7.981979991745793E-5 ; 20.691556761595464
1.0153131241457611 ; 7.981184856945724E-5 ; 20.69150834572693
1.0155469355496989 ; 7.98038953903802E-5 ; 20.691459918708947
1.0157808007969003 ; 7.979594037980516E-5 ; 20.691411480538946
1.0160147198997653 ; 7.978798353731032E-5 ; 20.691363031214365
1.0162486928706955 ; 7.978002486247385E-5 ; 20.691314570732622
1.0164827197220965 ; 7.977206435487379E-5 ; 20.691266099091163
1.0167168004663756 ; 7.976410201408807E-5 ; 20.691217616287407
1.016950935115944 ; 7.975613783969452E-5 ; 20.69116912231879
1.0171851236832148 ; 7.974817183127091E-5 ; 20.691120617182733
1.0174193661806048 ; 7.97402039883949E-5 ; 20.691072100876674
1.0176536626205333 ; 7.973223431064402E-5 ; 20.691023573398038
1.0178880130154222 ; 7.972426279759572E-5 ; 20.69097503474425
1.0181224173776968 ; 7.97162894488274E-5 ; 20.690926484912733
1.0183568757197847 ; 7.970831426391626E-5 ; 20.69087792390092
1.0185913880541169 ; 7.970033724243953E-5 ; 20.69082935170623
